Dia;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;27565.79;27545.34;27557.89;27565.76;27666.77;27765.23;27908.86;27953.42;27994.89;28050.40;28065.35;28229.83
2;27565.79;27544.45;27558.87;27565.76;27671.37;27767.91;27914.43;27953.42;27996.69;28052.27;28065.35;28237.32
3;27565.79;27543.56;27559.85;27565.76;27675.97;27770.60;27920.00;27953.42;27998.50;28054.14;28065.35;28244.83
4;27565.79;27542.67;27560.84;27565.76;27680.57;27773.28;27925.56;27953.42;28000.30;28056.00;28065.35;28252.33
5;27565.79;27541.78;27561.82;27565.76;27685.17;27775.96;27931.13;27953.42;28002.11;28057.87;28065.35;28259.83
6;27565.79;27540.89;27562.81;27565.76;27689.77;27778.65;27936.70;27953.42;28003.91;28059.74;28065.35;28267.34
7;27565.79;27540.00;27563.79;27565.76;27694.38;27781.33;27942.27;27953.42;28005.72;28061.61;28065.35;28274.85
8;27565.79;27539.11;27564.77;27565.76;27698.98;27784.02;27947.85;27953.42;28007.52;28063.48;28065.35;28282.36
9;27565.79;27538.22;27565.76;27565.76;27703.59;27786.70;27953.42;27953.42;28009.33;28065.35;28065.35;28289.87
10;27564.90;27539.20;27565.76;27570.34;27706.27;27792.24;27953.42;27955.22;28011.20;28065.35;28072.81;28290.78
11;27564.01;27540.19;27565.76;27574.93;27708.94;27797.78;27953.42;27957.02;28013.06;28065.35;28080.26;28291.69
12;27563.12;27541.17;27565.76;27579.51;27711.62;27803.33;27953.42;27958.83;28014.93;28065.35;28087.72;28292.61
13;27562.23;27542.15;27565.76;27584.10;27714.30;27808.87;27953.42;27960.63;28016.79;28065.35;28095.18;28293.52
14;27561.34;27543.14;27565.76;27588.68;27716.98;27814.42;27953.42;27962.43;28018.66;28065.35;28102.65;28294.43
15;27560.45;27544.12;27565.76;27593.27;27719.66;27819.96;27953.42;27964.23;28020.52;28065.35;28110.11;28295.34
16;27559.56;27545.10;27565.76;27597.86;27722.34;27825.51;27953.42;27966.03;28022.39;28065.35;28117.58;28296.26
17;27558.67;27546.09;27565.76;27602.45;27725.01;27831.06;27953.42;27967.84;28024.26;28065.35;28125.05;28297.17
18;27557.78;27547.07;27565.76;27607.04;27727.69;27836.61;27953.42;27969.64;28026.12;28065.35;28132.52;28298.08
19;27556.89;27548.05;27565.76;27611.63;27730.37;27842.16;27953.42;27971.44;28027.99;28065.35;28139.99;28298.99
20;27556.01;27549.04;27565.76;27616.22;27733.05;27847.71;27953.42;27973.25;28029.86;28065.35;28147.47;28299.91
21;27555.12;27550.02;27565.76;27620.81;27735.73;27853.27;27953.42;27975.05;28031.72;28065.35;28154.94;28300.82
22;27554.23;27551.00;27565.76;27625.40;27738.41;27858.82;27953.42;27976.85;28033.59;28065.35;28162.42;28301.73
23;27553.34;27551.99;27565.76;27629.99;27741.09;27864.38;27953.42;27978.65;28035.46;28065.35;28169.90;28302.64
24;27552.45;27552.97;27565.76;27634.59;27743.77;27869.94;27953.42;27980.46;28037.33;28065.35;28177.39;28303.56
25;27551.56;27553.95;27565.76;27639.18;27746.45;27875.49;27953.42;27982.26;28039.19;28065.35;28184.87;28304.47
26;27550.67;27554.94;27565.76;27643.78;27749.14;27881.05;27953.42;27984.06;28041.06;28065.35;28192.36;28305.38
27;27549.78;27555.92;27565.76;27648.37;27751.82;27886.61;27953.42;27985.87;28042.93;28065.35;28199.85;28306.29
28;27548.89;27556.90;27565.76;27652.97;27754.50;27892.17;27953.42;27987.67;28044.80;28065.35;28207.34;28307.21
29;27548.00;;27565.76;27657.57;27757.18;27897.74;27953.42;27989.48;28046.66;28065.35;28214.83;28308.12
30;27547.11;;27565.76;27662.17;27759.86;27903.30;27953.42;27991.28;28048.53;28065.35;28222.33;28309.03
31;27546.22;;27565.76;;27762.55;;27953.42;27993.08;;28065.35;;28309.94
